Signature,NamePKO,Country,Year,date2,mandate_renewal,mandate_completeadjustment,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
S/RES/1527,MINUCI,Ivory Coast,2004,04-Feb-04,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1479,MINUCI,Ivory Coast,2003,13-May-03,0,0,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,,,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,Mandated in current resolution in S/RES/1479 paragraph(s) 10,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 5,,,,Mandated in current resolution in S/RES/1479 paragraph(s) 3,,,,,,,,,,,,,,
S/RES/1514,MINUCI,Ivory Coast,2003,13-Nov-03,1,0,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,,,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,Mandated in previous resolution in S/RES/1514 paragraph(s) 10,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 5,,,,Mandated in previous resolution in S/RES/1514 paragraph(s) 3,,,,,,,,,,,,,,
S/RES/2350,MINUJUSTH,Haiti,2017,13-Apr-17,0,0,,,,,,Mandated in current resolution in S/RES/2350 paragraph(s) 11,,,,,,,,,,,,,Mandated in current resolution in S/RES/2350 paragraph(s) 13,,Mandated in current resolution in S/RES/2350 paragraph(s) 6,,,,,,,,,,,,,"Mandated in current resolution in S/RES/2350 paragraph(s) 6, 8, 9, 10",,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2350 paragraph(s) 6,,,,,,,,Mandated in current resolution in S/RES/2350 paragraph(s) 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2350 paragraph(s) 12,,,
S/RES/2466,MINUJUSTH,Haiti,2019,04-Dec-19,1,0,,,,,,Mandated in previous resolution in S/RES/2466 paragraph(s) 11,,,,,,,,,,,,,Mandated in current resolution in S/RES/2466 paragraph(s) 10,,Mandated in current resolution in S/RES/2466 paragraph(s) 6,Mandated in current resolution in S/RES/2466 paragraph(s) 6,,,,,,,,,,,,Mandated in current resolution in S/RES/2466 paragraph(s) 11,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/2466 paragraph(s) 6,,,,,,,,Mandated in previous resolution in S/RES/2466 paragraph(s) 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2466 paragraph(s) 12,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/2466 paragraph(s) 12,,,
S/RES/2410,MINUJUSTH,Haiti,2018,04-Oct-18,1,0,,,,,,Mandated in previous resolution in S/RES/2410 paragraph(s) 11,,,,,,,,,,,,,Mandated in current resolution in S/RES/2410 paragraph(s) 15,,Mandated in current resolution in S/RES/2410 paragraph(s) 1,Mandated in current resolution in S/RES/2410 paragraph(s) 1,Mandated in current resolution in S/RES/2410 paragraph(s) 11,,,,,,,,,,,"Mandated in current resolution in S/RES/2410 paragraph(s) 1, 7",,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/2410 paragraph(s) 1, 7",,,,,,,,Mandated in current resolution in S/RES/2410 paragraph(s) 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2410 paragraph(s) 7,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/2410 paragraph(s) 17,,,Mandated in current resolution in S/RES/2410 paragraph(s) 7,,,,,,,,,,,Mandated in previous resolution in S/RES/2410 paragraph(s) 12,,,
S/RES/1182,MINURCA,Central African Republic,1998,14-Jul-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1201,MINURCA,Central African Republic,1998,15-Oct-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1201 paragraph(s) 2c,,Mandated in current resolution in S/RES/1201 paragraph(s) 2b,"Mandated in current resolution in S/RES/1201 paragraph(s) 2, 2a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1271,MINURCA,Central African Republic,1999,22-Oct-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1271 paragraph(s) 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1271 paragraph(s) 2c,,Mandated in previous resolution in S/RES/1271 paragraph(s) 2b,"Mandated in previous resolution in S/RES/1271 paragraph(s) 2, 2a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1230,MINURCA,Central African Republic,1999,26-Feb-99,1,0,,Mandated in current resolution in S/RES/1230 paragraph(s) 12c,,,,Mandated in current resolution in S/RES/1230 paragraph(s) 12c,,,,Mandated in current resolution in S/RES/1230 paragraph(s) 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/1230 paragraph(s) 12a, 12d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in current resolution in S/RES/1230 paragraph(s) 11, 9",,Mandated in current resolution in S/RES/1230 paragraph(s) 9,Mandated in current resolution in S/RES/1230 paragraph(s) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1230 paragraph(s) 12a,,,,,,,,,,,,,,
S/RES/1159,MINURCA,Central African Republic,1998,27-Mar-98,0,0,Mandated in current resolution in S/RES/1159 paragraph(s) 10c,Mandated in current resolution in S/RES/1159 paragraph(s) 10c,,,,Mandated in previous resolution in S/RES/1159 paragraph(s) 12c,,,,Mandated in previous resolution in S/RES/1159 paragraph(s) 10,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1159 paragraph(s) 10e,,,,"Mandated in previous resolution in S/RES/1159 paragraph(s) 12a, 12d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/1159 paragraph(s) 11, 9",,Mandated in previous resolution in S/RES/1159 paragraph(s) 9,Mandated in current resolution in S/RES/1159 paragraph(s) 10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1159 paragraph(s) 14a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1159 paragraph(s) 12a,,,,,,,,,,,,,,
S/RES/1913,MINURCAT,Chad,2010,12-Mar-10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1922,MINURCAT,Chad,2010,12-May-10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1861,MINURCAT,Chad,2009,14-Jan-09,1,1,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 7a(i),,Mandated in current resolution in S/RES/1861 paragraph(s) 6f,"Mandated in current resolution in S/RES/1861 paragraph(s) 6f, 6g",,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6g,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6f,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6a,Mandated in current resolution in S/RES/1861 paragraph(s) 13,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6a,,,,,,,,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6g,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6e,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6i,,,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6d,"Mandated in current resolution in S/RES/1861 paragraph(s) 1, 5",,Mandated in current resolution in S/RES/1861 paragraph(s) 7a(ii),,,,,,"Mandated in current resolution in S/RES/1861 paragraph(s) 5, 6c, 6e",,"Mandated in current resolution in S/RES/1861 paragraph(s) 1, 7a(i)",,,,,,Mandated in current resolution in S/RES/1861 paragraph(s) 6h,,,,,,,,,,,,,,
S/RES/1778,MINURCAT,Chad,2007,23-Sep-07,0,0,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1778 paragraph(s) 7a(i),,Mandated in current resolution in S/RES/1778 paragraph(s) 2e,Mandated in current resolution in S/RES/1778 paragraph(s) 2e,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2f,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2e,,,,"Mandated in current resolution in S/RES/1778 paragraph(s) 2a, 5",Mandated in previous resolution in S/RES/1778 paragraph(s) 13,,,Mandated in previous resolution in S/RES/1778 paragraph(s) 6a,,,,,,,,,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2f,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1778 paragraph(s) 6e,,,,Mandated in previous resolution in S/RES/1778 paragraph(s) 6i,,,,,,,Mandated in previous resolution in S/RES/1778 paragraph(s) 6d,Mandated in current resolution in S/RES/1778 paragraph(s) 1,,Mandated in current resolution in S/RES/1778 paragraph(s) 5,,,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2c,,"Mandated in current resolution in S/RES/1778 paragraph(s) 1, 5",,,,,,Mandated in current resolution in S/RES/1778 paragraph(s) 2g,,,,,,,,,,,,,,
S/RES/1834,MINURCAT,Chad,2008,24-Sep-08,1,0,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 7a(i),,Mandated in previous resolution in S/RES/1834 paragraph(s) 2e,Mandated in previous resolution in S/RES/1834 paragraph(s) 2e,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2f,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2e,,,,"Mandated in previous resolution in S/RES/1834 paragraph(s) 2a, 5",Mandated in previous resolution in S/RES/1834 paragraph(s) 13,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 6a,,,,,,,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2f,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 6e,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 6i,,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 6d,Mandated in previous resolution in S/RES/1834 paragraph(s) 1,,Mandated in previous resolution in S/RES/1834 paragraph(s) 5,,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2c,,"Mandated in previous resolution in S/RES/1834 paragraph(s) 1, 5",,,,,,Mandated in previous resolution in S/RES/1834 paragraph(s) 2g,,,,,,,,,,,,,,
S/RES/1923,MINURCAT,Chad,2010,25-May-10,1,1,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 10,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(v),"Mandated in current resolution in S/RES/1923 paragraph(s) 8(v), 8(vi)",,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(vi),,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(v),,,,"Mandated in current resolution in S/RES/1923 paragraph(s) 8(i), 12, 14",13,,,6a,,,,,,,,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(vii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(vi),,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(iv),,,,6i,,,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(iii),1,,Mandated in current resolution in S/RES/1923 paragraph(s) 9(iv),,,,,,"Mandated in current resolution in S/RES/1923 paragraph(s) 8(ii), 8(iv)",Mandated in current resolution in S/RES/1923 paragraph(s) 23,"1, 5",,,,,,Mandated in current resolution in S/RES/1923 paragraph(s) 8(vii),,,,,,,,,,,,,,
S/RES/1228,MINURSO,Morocco,1999,11-Feb-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1263,MINURSO,Morocco,1999,12-Sep-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/973,MINURSO,Morocco,1995,13-Jan-95,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1282,MINURSO,Morocco,1999,14-Dec-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1163,MINURSO,Morocco,1998,17-Apr-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1215,MINURSO,Morocco,1998,17-Dec-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1198,MINURSO,Morocco,1998,18-Sep-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1185,MINURSO,Morocco,1998,20-Jul-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1133,MINURSO,Morocco,1997,20-Oct-97,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1108,MINURSO,Morocco,1997,22-May-97,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1017,MINURSO,Morocco,1995,22-Sep-95,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/2044,MINURSO,Morocco,2012,24-Apr-12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/2099,MINURSO,Morocco,2013,25-Apr-13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1309,MINURSO,Morocco,2000,25-Jun-00,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1469,MINURSO,Morocco,2003,25-Mar-03,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1148,MINURSO,Morocco,1998,26-Jan-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/1148 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/995,MINURSO,Morocco,1995,26-May-95,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/995 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1349,MINURSO,Morocco,2001,27-Apr-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1349 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1979,MINURSO,Morocco,2011,27-Apr-11,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1979 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1342,MINURSO,Morocco,2001,27-Feb-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1342 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1394,MINURSO,Morocco,2002,27-Feb-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1394 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1084,MINURSO,Morocco,1996,27-Nov-96,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1084 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1380,MINURSO,Morocco,2001,27-Nov-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1380 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1598,MINURSO,Morocco,2005,28-Apr-05,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1598 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1675,MINURSO,Morocco,2006,28-Apr-06,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1675 paragraph(s) 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
