Signature,NamePKO,Country,Year,Date2,Mandate_Renewal,Mandate_CompleteAdjustment,DisarmDemob_Monitor,DisarmDemob_Assist,DisarmDemob_Encouraged,DisarmDemob_Security,Reintegration_Monitor,Reintegration_Assist,Reintegration_Security,Reintegration_Encouraged,ControlSALW_Monitor,ControlSALW_Assist,ControlSALW_Encouraged,ControlSALW_Security,ArmsEmbargo_Monitor,ArmsEmbargo_Assist,ArmsEmbargo_Encouraged,ArmsEmbargo_Security,CivProtect_Monitor,CivProtect_Assist,CivProtect_Security,CivProtect_Encouraged,HumanRights_Monitor,HumanRights_Assist,HumanRights_Encouraged,HumanRights_Security,ChildRights_Monitor,ChildRights_Assist,ChildRights_Encouraged,ChildRights_Security,SGBViolence_Monitor,SGBViolence_Assist,SGBViolence_Encouraged,SGBViolence_Security,PoliceReform_Monitor,PoliceReform_Assist,PoliceReform_Encouraged,PoliceReform_Security,MilitaryReform_Monitor,MilitaryReform_Assist,MilitaryReform_Encouraged,MilitaryReform_Security,Demil_Monitor,Demil_Assist,Demil_Security,Demil_Encouraged,OffensOper_Assist,OffensOper_Security,OffensOper_Monitor,OffensOper_Encouraged,JusticeReform_Monitor,JusticeReform_Assist,JusticeReform_Encouraged,JusticeReform_Security,TransJustice_Monitor,TransJustice_Assist,TransJustice_Encouraged,TransJustice_Security,CorrectionsReform_Monitor,CorrectionsReform_Assist,CorrectionsReform_Encouraged,CorrectionsReform_Security,BorderControl_Monitor,BorderControl_Assist,BorderControl_Encouraged,BorderControl_Security,Demining_Monitor,Demining_Assist,Demining_Encouraged,Demining_Security,Resources_Monitor,Resources_Assist,Resources_Security,Resources_Encouraged,StateAuthority_Monitor,StateAuthority_Assist,StateAuthority_Encouraged,StateAuthority_Security,Democratization_Monitor,Democratization_Assist,Democratization_Encouraged,Democratization_Security,ElectSec_Monitor,ElectSec_Assist,ElectSec_Encouraged,ElectAssist_Monitor,ElectAssist_Assist,ElectAssist_Encouraged,ElectAssist_Security,VoterEducation_Monitor,VoterEducation_Assist,VoterEducation_Security,VoterEducation_Encouraged,PolPartyAssist_Monitor,PolPartyAssist_Assist,PolPartyAssist_Encouraged,PolPartyAssist_Security,CivilSociety_Monitor,CivilSociety_Assist,CivilSociety_Security,CivilSociety_Encouraged,Media_Monitor,Media_Assist,Media_Encouraged,Media_Security,PublicInfo_Assist,PublicInfo_Encouraged,PublicInfo_Monitor,PublicInfo_Security,PowerSharing_Monitor,PowerSharing_Assist,PowerSharing_Encouraged,PowerSharing_Security,Reconcil_Monitor,Reconcil_Assist,Reconcil_Encouraged,Reconcil_Security,LocalReconcil_Monitor,LocalReconcil_Assist,LocalReconcil_Encouraged,LocalReconcil_Security,RegReconcil_Monitor,RegReconcil_Assist,RegReconcil_Encouraged,RegReconcil_Security,EcDevelop_Monitor,EcDevelop_Assist,EcDevelop_Encouraged,EcDevelop_Security,HumanRelief_Monitor,HumanRelief_Assist,HumanRelief_Encouraged,HumanRelief_Security,PublicHealth_Monitor,PublicHealth_Assist,PublicHealth_Encouraged,PublicHealth_Security,RefugeeIDPs_Monitor,RefugeeIDPs_Assist,RefugeeIDPs_Encouraged,RefugeeIDPs_Security,Gender_Monitor,Gender_Assist,Gender_Encouraged,Gender_Security,LegalReform_Monitor,LegalReform_Assist,LegalReform_Encouraged,LegalReform_Security,Ceasefire_Monitor,Ceasefire_Assist,Ceasefire_Encouraged,Ceasefire_Security,PeaceProcess_Monitor,PeaceProcess_Assist,PeaceProcess_Encouraged,PeaceProcess_Security,CulturalHeritage_Assist,CulturalHeritage_Security,CulturalHeritage_Monitor,CulturalHeritage_Encouraged,UseOfForce,Comments
S/RES/1144,UNMIBH,Bosnia and Herzegovina,1997,19-Dec-97,1,0,,,,,,,,,,,,,,,,,,,,,"1 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",1 referring to 77 (S/1996/1012),,,,,,,,,,,1 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"1 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999)",,,,,,,,,,,,,,,1 referring to 76 (S/1996/1012) and 20 a (S/1995/999),,,,,,,,1 referring to 77 (S/1996/1012),,,,,,,,,,,,,,,,1 referring to 20 e (S/1995/999),1 referring to 20 e (S/1995/999),,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1168,UNMIBH,Bosnia and Herzegovina,1998,21-May-98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1174,UNMIBH,Bosnia and Herzegovina,1998,15-Jun-98,1,0,,,,,,,,,,,,,,,,,,,,,"19 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",19 referring to 77 (S/1996/1012),,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"19 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999) and PIC Bonn Conclusions, IV 4 and PIC Luxembourg Declaration, 30",,,,,,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),,,,,,,,19 referring to 77 (S/1996/1012),,,,,"19 referring to PIC Bonn Conclusions, IV 6 ",,,,,,,,,,,19 referring to 20 e (S/1995/999),19 referring to 20 e (S/1995/999),,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 referring to PIC Luxembourg Declaration, 31",,,,,,19 referring to PIC Luxembourg Declaration 69,,,,,,,,,,,,,,,,
S/RES/1184,UNMIBH,Bosnia and Herzegovina,1998,16-Jul-98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1247,UNMIBH,Bosnia and Herzegovina,1999,18-Jun-99,1,0,,,,,,,,,,,,,,,,,,,,,"19 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",19 referring to 77 (S/1996/1012),,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"19 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999) and PIC Bonn Conclusions, IV 4 and PIC Luxembourg Declaration, 30",,,,,,,,,,,,,,,"19 referring to 76 (S/1996/1012) and 20 a (S/1995/999) and PIC Bonn Conclusions, I 2 c","19 referring to PIC Bonn Conclusions, I 2 c",,,,,,,19 referring to 77 (S/1996/1012),,,,,"19 referring to PIC Bonn Conclusions, IV 6 ",,,,,,,,,,,19 referring to 20 e (S/1995/999),"19 referring to 20 e (S/1995/999) and PIC Bonn Conclusions, II 1 b",,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 referring to PIC Madrid Declaration, 11",,"19 referring to PIC Luxembourg Declaration, 31",,,,,,19 referring to PIC Luxembourg Declaration 69,,,,,,,,,,,,,,,,
S/RES/1305,UNMIBH,Bosnia and Herzegovina,2000,21-Jun-00,1,0,,,,,,,,,,,,,,,,,,,,,"19 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",19 referring to 77 (S/1996/1012),,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"19 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999) and PIC Bonn Conclusions, IV 4 and PIC Luxembourg Declaration, 30 and to Annex of Brussels PIC, 'Public Security', pt. 3",,,,,,,,,,,,,,,"19 referring to 76 (S/1996/1012) and 20 a (S/1995/999) and PIC Bonn Conclusions, I 2 c","19 referring to PIC Bonn Conclusions, I 2 c",,,,,,,19 referring to 77 (S/1996/1012),,,,,"19 referring to PIC Bonn Conclusions, IV 6 and PIC Brussels Declaration, 3  ",,,,,,,,,,,19 referring to 20 e (S/1995/999),"19 referring to 20 e (S/1995/999) and PIC Bonn Conclusions, II 1 b",,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 referring to PIC Madrid Declaration, 11",,"19 referring to PIC Luxembourg Declaration, 31",,,,,,"19 referring to PIC Luxembourg Declaration 69 and PIC Brussels Declaration, 2 ",,,,,,,,,,,,,,,,
S/RES/1357,UNMIBH,Bosnia and Herzegovina,2001,21-Jun-01,1,0,,,,,,,,,,,,,,,,,,,,,"19 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",19 referring to 77 (S/1996/1012),,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"19 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999) and PIC Bonn Conclusions, IV 4 and PIC Luxembourg Declaration, 30 and to Annex of Brussels PIC, 'Public Security', pt. 3",,,,,,,,,,,,,,,"19 referring to 76 (S/1996/1012) and 20 a (S/1995/999) and PIC Bonn Conclusions, I 2 c","19 referring to PIC Bonn Conclusions, I 2 c",,,,,,,19 referring to 77 (S/1996/1012),,,,,"19 referring to PIC Bonn Conclusions, IV 6 and PIC Brussels Declaration, 3  ",,,,,,,,,,,19 referring to 20 e (S/1995/999),"19 referring to 20 e (S/1995/999) and PIC Bonn Conclusions, II 1 b",,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 referring to PIC Madrid Declaration, 11",,"19 referring to PIC Luxembourg Declaration, 31",,,,,,"19 referring to PIC Luxembourg Declaration 69 and PIC Brussels Declaration, 2 ",,,,,,,,,,,,,,,,
S/RES/1418,UNMIBH,Bosnia and Herzegovina,2002,21-Jun-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1420,UNMIBH,Bosnia and Herzegovina,2002,30-Jun-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1421,UNMIBH,Bosnia and Herzegovina,2002,03-Jul-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1423,UNMIBH,Bosnia and Herzegovina,2002,12-Jul-02,1,0,,,,,,,,,,,,,,,,,,,,,"19 referring to 76, 77 (S/1996/1012) and 32 (S/1995/999)",19 referring to 77 (S/1996/1012),,,,,,,,,,,19 referring to 76 (S/1996/1012) and 20 a (S/1995/999),"19 referring to 77 (S/1996/1012) and 20 b, c, d, f, g (S/1995/999) and PIC Bonn Conclusions, IV 4 and PIC Luxembourg Declaration, 30 and to Annex of Brussels PIC, 'Public Security', pt. 3",,,,,,,,,,,,,,,"19 referring to 76 (S/1996/1012) and 20 a (S/1995/999) and PIC Bonn Conclusions, I 2 c","19 referring to PIC Bonn Conclusions, I 2 c",,,,,,,19 referring to 77 (S/1996/1012),,,,,"19 referring to PIC Bonn Conclusions, IV 6 and PIC Brussels Declaration, 3  ",,,,,,,,,,,19 referring to 20 e (S/1995/999),"19 referring to 20 e (S/1995/999) and PIC Bonn Conclusions, II 1 b",,,,,,,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,"Dayton Peace Agreement, Annex 11, Article III, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 referring to PIC Madrid Declaration, 11",,"19 referring to PIC Luxembourg Declaration, 31",,,,,,"19 referring to PIC Luxembourg Declaration 69 and PIC Brussels Declaration, 2 ",,,,,,,,,,,,,,,,
S/RES/717,UNAMIC,Cambodia,1991,16-Oct-91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,12,,,,12,,,,,,,,S/23097
S/RES/728 ,UNAMIC,Cambodia,1992,08-Jan-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3a, 3b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,S/23331
S/RES/745,UNTAC,Cambodia,1992,28-Feb-92,0,0,"54 b, 74 b, 74 c","54 c, 66, 68, 73, 74 b, 74 e",,"66, 74 c, 78 d, 78 e",,"75, 154",,,,"54 c, 77",,,,,,,,,,,11,"9, 126",,,,153 a,,,,,,,"17, 101, 102, 112","17, 121, 126",,,"76, 97",,,,"54 a, 54 b, 55, 57",,,,,,,,"17, 102",17,,,,,,,,17,,,"58, 99",,,,,"54 c, 74 a, 80, 90 e i c",,,,,,,94,153 c,,,,,,,,"40, 127",,41,23,,,,"27, 160",,,35,34,,,,13,,,,,,,"13, 90 e i a, 160",,,,,,,,,,,,,,,,,,,,,,,,,153 a,,,,,,,,"55, 138",,90 b vii,,153 a,,,103,25,,,"54 b, 55, 62",,,,,93,,,,,,,,
S/RES/766,UNTAC,Cambodia,1992,21-Jul-92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
S/RES/783,UNTAC,Cambodia,1992,13-Oct-92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,7,,,,,,,,,,,,,,,,,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,67 (S/24578),,,,,,,,
S/RES/792,UNTAC,Cambodia,1992,30-Nov-92,0,0,,,,,,,,,,,,,,13,,,,,,,,9 (S/24800),,,,,,,,,,,30 (S/24800),,,,,,,,,18 (S/24800),,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,"4 + 9, 31 (S/24800)",,,"4, 5 + 28, 29 (S/24800)",,,,29 (S/24800),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 (S/24800),,,,,,,,,,,16,,,,,9,,,,,,,,
S/RES/810,UNTAC,Cambodia,1993,08-Mar-93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46 (S/25289),,,,,,,,
S/RES/826,UNTAC,Cambodia,1993,20-May-93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
S/RES/860,UNTAC,Cambodia,1993,27-Aug-93,1,0,,,,,,,,,,,,,,,,,,,,,,"20, 25, 32 (S/26090)",,,,,,,,,,,,20 (S/26090),,,27 (S/26090),,,,,,,,,,,,,"20, 26 (S/26090)",,,,,,,,,,,,26 (S/26090),,,,,,,26 (S/26090),,,,25 (S/26090),26 (S/26090),,,,23 (S/26090),,,,,,,23 (S/26090),,,,,,,,,,,,,,,,,,,32 (S/26090),,,,,,,,,25 (S/26090),,,,,,,,,,,,29 (S/26090),,,,,,,,,,,,,,,,,,,,23 (S/26090),,,,,,,,,,,,,,,,
S/RES/880,UNTAC,Cambodia,1993,04-Nov-93,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/981,UNCRO,Croatia,1995,31-Mar-95,0,0,,,,,,,,,,,,,,,,,,,,,,3 c Referring to 72 c ( S/1995/222),,,,,,,,,,,,,,,,,,,3 c Referring to 72 ( S/1995/222),,,,,,,,,,,,,,,,,,,,3 c Referring to 72 c ( S/1995/222),,,,,3 c Referring to 72 c ( S/1995/222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 c Referring to 72 c ( S/1995/222),,,,,,,,3 c Referring to 72 c ( S/1995/222),,,,3 b,,,,3 c referring to 72 c ( S/1995/222),,,,,,,,3 c referring to 72 c ( S/1995/222),,,,,,,,,,,,3:00 AM,,,,,,,,,,,,
S/RES/990,UNCRO,Croatia,1995,28-Apr-95,0,0,,,,,,,,,,,,,,,,,,,,,19 b,"20 e, f",,,,,,,,,,,"15 f, 20 e",,,,,,,,"12 b, 25, 28 a,b,c","12 c, 28 d",,,,,,,20 e,,,,,,,,,,,,"21, 22",,,,"15 e, 20 c",15 e,,,,,,,,16 a,,,,,,,,,,,,,,,,,,,,,,,,,,,20 i ?,,,,,,,,,,,,,,,,19 d,,,,,,,,"16 b, 17 e, 19 d, 20 h",,,,"15 b; 16 b;  19 a; 20 a, b; 23; 24 a, b, d",,"20 i, 24 c",,,,,,"19 c; 20 c, g",,,,,,,,,,,12:00 AM,"12 d, 15 h",,,,,,,,,,,,
S/RES/1038,UNMOP,Croatia,1996,15-Jan-96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1037,UNTAES,Croatia,1996,15-Jan-96,0,0,,,,,,,,,,,,,,,,,,,,,12,12 f referring to 16 f (S/1995/1028),,,,,,,,,,,,11 a; 10 d referring to 5 (S/1995/951),,,,,,,10:00 AM,10:00 AM,,,,,,,11 b referring to 16 b (S/1995/1028),,,,,21,,,11:00 AM,,,,11 b referring to 16 b (S/1995/1028),,,,12,12,,,,,,,11 c referring to 16 c (S/1995/1028),"10 d referring to 2, 4 (S/1995/951); 11 b referring to 16 b (S/1995/1028)",,,,,,,,,,11 e referring to 16 g (S/1995/1028),10 d referring to 12 (S/1995/951); 11 e referring to 16 g (S/1995/1028),,,,,,,,,,,,12 f referring to 16 f (S/1995/1028),,,,,,,12,,,,,,,,,12,,,,10 d referring to 5 (S/1995/951),,,,,,,11 b referring to 16 b (S/1995/1028),11 f,,,,,,,11 c referring to 16 c (S/1995/1028),,,,10 b,10 d referring to 4 (S/1995/951); 11 d referring to 16 e (S/1995/1028) ,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1043,UNTAES,Croatia,1996,31-Jan-96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1066,UNMOP,Croatia,1996,15-Jul-96,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1069,UNTAES,Croatia,1996,30-Jul-96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1079,UNTAES,Croatia,1996,15-Nov-96,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1093,UNMOP,Croatia,1997,14-Jan-97,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1119,UNMOP,Croatia,1997,14-Jul-97,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1120,UNTAES,Croatia,1997,14-Jul-97,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1145,UNCSPG,Croatia,1997,19-Dec-97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,38 (S/1997/953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1147,UNMOP,Croatia,1998,13-Jan-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1183,UNMOP,Croatia,1998,15-Jul-98,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1222,UNMOP,Croatia,1999,15-Jan-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1252,UNMOP,Croatia,1999,15-Jul-99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1285,UNMOP,Croatia,2000,13-Jan-00,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1307,UNMOP,Croatia,2000,13-Jul-00,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1335,UNMOP,Croatia,2001,12-Jan-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1362,UNMOP,Croatia,2001,11-Jul-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1387,UNMOP,Croatia,2002,15-Jan-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/1424 ,UNMOP,Croatia,2002,12-Jul-02,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
